"altitude","temp.min.to","temp.max.to","altitude.disp","temp.min.disp","est.prob","date","accuracy","l2hit","n.ends","year","l2.ep","acc.ep","wvec","index"
1,16.5023731051548,30.2317353964332,15.9370915033087,14.3094785557868,0.789164261426777,"2014-06-29",0.888015425689706,0.433206106870229,2662,2014,0.141698473282443,0.879301394245031,4e-04,1
0.4,16.5701368266592,28.1984232414998,21.3267370439189,14.5124849246194,0.0489383593667299,"2014-07-03",0.890685256600415,0.374045801526718,1862,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,14.8372280684416,28.1748527694117,53.4341350849696,15.6112786435488,0.486041666241363,"2014-07-02",0.901364580243251,0.587786259541985,2723,2014,0.141698473282443,0.879301394245031,4e-04,1
1.2,15.9351480790405,28.9204977370122,69.7927662765671,15.4365451909304,0.577671654522419,"2014-07-25",0.909225749035894,0.16793893129771,806,2014,0.141698473282443,0.879301394245031,4e-04,1
1,14.9747541611324,30.2272233037734,20.360862213577,14.5712699548422,0.688140818849206,"2014-07-26",0.892465143874221,0.188931297709924,1097,2014,0.141698473282443,0.879301394245031,4e-04,1
1.2,15.1286124685454,29.0817218914192,63.0301732455246,16.0042501446911,0.4501746033784,"2014-07-27",0.91174725600712,0.150763358778626,694,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,16.0245437559179,32.0018511872082,20.2392604782656,15.6244866949532,0.577975363703445,"2014-08-04",0.889498665084545,0.431297709923664,2373,2014,0.141698473282443,0.879301394245031,4e-04,1
1,12.6935496797957,31.7361724987501,38.506007919826,14.44513749174,0.917375569231808,"2014-07-25",0.90981904479383,0.326335877862595,1523,2014,0.141698473282443,0.879301394245031,4e-04,1
0.4,15.471159043567,27.963770068448,55.8725926648185,15.5842162293447,0.892683193087578,"2014-07-17",0.898398101453575,0.347328244274809,1466,2014,0.141698473282443,0.879301394245031,4e-04,1
1.2,15.5970623937996,28.0069747083842,59.5179943149312,14.7471793443821,0.0920797490980476,"2014-06-16",0.895579946603382,0.278625954198473,1274,2014,0.141698473282443,0.879301394245031,4e-04,1
0.8,14.0593847574466,27.9358048246673,53.0487256501724,13.5971639107838,0.231017034733668,"2014-07-07",0.882675763868288,0.398854961832061,2203,2014,0.141698473282443,0.879301394245031,4e-04,1
0.4,13.8168451315227,28.9227118124294,16.5085332807633,15.2803040483742,0.285042622126639,"2014-07-17",0.894096707208544,0.362595419847328,1581,2014,0.141698473282443,0.879301394245031,4e-04,1
1,15.7999473990105,27.649014687132,54.0367058830231,15.9290090369474,0.460411013569683,"2014-07-12",0.891723524176802,0.482824427480916,2418,2014,0.141698473282443,0.879301394245031,4e-04,1
1.2,16.592571902881,31.1156512718527,24.7619702116717,13.3445811823998,0.108215974410996,"2014-07-03",0.896469890240285,0.200381679389313,1026,2014,0.141698473282443,0.879301394245031,4e-04,1
